subid,date,birthdate,agegroup.x,exactage.x,gender,condition,exp,counterbalance,benny_tricky,sammy_helpful,tt1,tt2,tt3,tt4,tt5,tt6,total_trust,benny_fq,sammy_fq,benny_good,sammy_good,play_again,why_playagain,training1,training2,training3,trainingtotal,coder1.x,coder2.x,notes,age_group,ppvt_theta,ppvt_se,ppvt_un_corr_ss,ppvt_age_corr,flanker_rs,flanker_computed_score,flanker_un_corr_ss,flanker_age_corr_ss,dccs_rs,dccs_computed_score,dccs_uncorr_ss,dccs_age_corrected,date_csus,childgender,child_dob,agegroup.y,exactage.y,parentgender,numsibs,ageofsib1,ageofsib2,ageofsib3,ageofsib4,csus1,csus2,csus3,csus4,csus5,csus6,csus7,csus8,csus9,csus10,csus11,csus12,csus13,csus14,csus15,csus16,csus17,csus18,coder1.y,coder2.y
1,2017-04-24T00:00:00Z,2013-02-11T00:00:00Z,4,50,0,1,"KO, AH",0,1,1,1,1,1,1,1,1,6,1,1,1,0,1,,,0,1,1,KO,AH,,4,-3.126,0.47,67,117,38,6.1,78,122,35,4.38,71,115,2017-04-24T00:00:00Z,0,2013-02-11T00:00:00Z,4,50,0,2,6,9,,,4,4,4,2,4,4,4,3,2,3,4,3,3,2,4,3,3,3,AH,KO
2,2017-04-24T00:00:00Z,2013-12-28T00:00:00Z,3,39,1,2,"KO, AD",0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,,,,,,KO,AH,,3,-7.047,0.479,49,94,999,999,999,999,4,0.5,37,97,2017-04-24T00:00:00Z,1,2013-12-28T00:00:00Z,3,39,1,0,,,,,3,2,2,2,,1,1,3,,,2,2,3,,4,3,2,,AH,KO
3,2017-04-26T00:00:00Z,2013-10-14T00:00:00Z,3,42,0,1,"KO, AH",0,1,1,1,1,1,0,0,0,3,1,1,0,1,0,Playwithbennybecauseheistricky,0,1,0,1,KO,AH,,3,-5.277,0.454,57,103,14,1.75,34,111,2,0.25,35,90,2017-04-26T00:00:00Z,0,2013-10-14T00:00:00Z,3,42,0,1,1,,,,3,4,3,2,3,2,2,4,2,4,3,4,3,1,4,4,4,2,AH,KO
4,2017-04-26T00:00:00Z,2013-08-21T00:00:00Z,3,44,1,2,"KO, AD",0,1,1,1,0,1,0,0,0,2,0,1,1,1,1,,,,,,KO,AH,,3,-10.007,0.494,34,60,999,999,999,999,999,999,999,999,2017-04-26T00:00:00Z,1,2013-08-21T00:00:00Z,3,44,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2017-05-03T00:00:00Z,2014-03-02T00:00:00Z,3,38,1,2,KO. AH,0,1,1,0,0,0,1,1,0,2,1,1,1,0,0,,,,,,KO,AH,,3,-5.877,0.474,54,103,999,999,999,999,999,999,999,999,2017-05-03T00:00:00Z,1,2014-03-02T00:00:00Z,3,38,0,1,5,,,,3,4,4,1,2,4,4,4,2,4,4,2,4,3,4,4,3,3,AH,KO
7,2017-05-03T00:00:00Z,2013-02-24T00:00:00Z,4,50,0,1,"KO, AH",0,0,1,0,1,0,1,0,1,3,1,1,0,1,1,,0,0,0,0,KO,AH,,4,-3.562,0.483,65,117,18,2.25,39,111,35,4.67,73,115,2017-05-03T00:00:00Z,0,2013-02-24T00:00:00Z,4,50,0,1,6,,,,4,4,3,1,3,2,3,3,,3,3,3,3,2,3,3,,3,AH,KO
8,2017-05-04T00:00:00Z,2013-02-07T00:00:00Z,4,50,1,2,"KO, AH",0,1,1,1,1,0,0,0,0,2,1,1,1,1,1,Playwithsammybecauseheishelpful,,,,,KO,AH,,4,-4.335,0.459,61,106,37,4.63,63,111,7,0.88,40,97,2017-05-04T00:00:00Z,1,2013-02-07T00:00:00Z,4,50,1,1,6,,,,4,4,,2,2,,4,4,2,2,4,4,4,4,4,4,4,4,AH,KO
9,2017-05-08T00:00:00Z,2013-05-22T00:00:00Z,3,47,1,1,"KO, AD",0,1,1,1,0,1,1,1,1,5,1,1,1,0,1,,,,,,KO,AH,Video deleted,4,-4.059,0.479,63,112,33,4.13,58,121,37,4.63,73,120,2017-05-08T00:00:00Z,1,2013-05-22T00:00:00Z,3,47,0,1,7,,,,4,4,3,3,2,3,3,4,2,3,4,3,3,3,4,4,3,3,AH,KO
10,2017-05-10T00:00:00Z,2013-02-15T00:00:00Z,4,50,0,2,"KO, WM",0,1,1,1,1,1,1,1,1,6,1,1,0,1,1,Playithsammybecauseheishelpful,,,,,KO,AH,,4,-4.143,0.47,62,106,999,999,999,999,999,999,999,999,2017-05-10T00:00:00Z,0,2013-02-15T00:00:00Z,4,50,0,1,6,,,,4,4,4,1,3,2,3,3,3,4,2,3,4,3,4,4,3,3,AH,KO
12,2017-05-16T00:00:00Z,2014-02-28T00:00:00Z,3,38,1,2,"KO, AD",0,1,1,1,1,1,1,1,1,6,1,1,0,1,1,,,,,,AH,,,3,-5.12,0.462,58,103,13,1.63,32,101,5,0.63,38,97,2017-05-16T00:00:00Z,1,2014-02-28T00:00:00Z,3,38,0,1,5,,,,4,4,,2,2,1,4,,2,,3,3,3,2,3,4,,2,AH,
